Henry Hub Natural Gas Spot Price (Dollars per Million Btu),U.S. Natural Gas Liquid Composite Price (Dollars per Million Btu),Natural Gas Futures Contract 1 (Dollars per Million Btu),Natural Gas Futures Contract 2 (Dollars per Million Btu),Natural Gas Futures Contract 3 (Dollars per Million Btu),Natural Gas Futures Contract 4 (Dollars per Million Btu),Price of U.S. Natural Gas Imports (Dollars per Thousand Cubic Feet),U.S. Natural Gas Pipeline Imports Price (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Exports (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Pipeline Exports (Dollars per Thousand Cubic Feet),Price of Liquefied U.S. Natural Gas Exports (Dollars per Thousand Cubic Feet),U.S. Natural Gas Citygate Price (Dollars per Thousand Cubic Feet),U.S. Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),U.S. Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),United States Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),Date...16,U.S. Natural Gas Gross Withdrawals (MMcf),U.S. Natural Gas Marketed Production (MMcf),U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),U.S. Dry Natural Gas Production (MMcf),Date...21,U.S. Natural Gas Total Consumption (MMcf),U.S. Natural Gas Lease and Plant Fuel Consumption (MMcf),U.S. Natural Gas Pipeline & Distribution Use (MMcf),Natural Gas Delivered to Consumers in the U.S. (MMcf),U.S. Natural Gas Residential Consumption (MMcf),Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in the U.S. (MMcf),U.S. Natural Gas Industrial Consumption (MMcf),U.S. Natural Gas Vehicle Fuel Consumption (MMcf),U.S. Natural Gas Deliveries to Electric Power Consumers (MMcf),Date...31,U.S. Natural Gas Imports (MMcf),U.S. Natural Gas Pipeline Imports (MMcf),U.S. Liquefied Natural Gas Imports (MMcf),U.S. Natural Gas Exports (MMcf),U.S. Natural Gas Pipeline Exports (MMcf),Liquefied U.S. Natural Gas Exports (MMcf),Date...38
1.99,3.89,1.929,1.999,2.068,2.134,2.43,2.12,2.28,2.26,3.59,3.48,8.36,6.86,3.58,2016 Feb,2653842,2310521,147087,2163435,2016 Feb,2652260,125722,66993,2459545,690077,413548,662790,3330,689800,2016 Feb,251775,242019,9728,162757,159426,3309,2016 Feb
1.73,4.48,1.812,1.906,2.011,2.106,1.73,1.55,2.04,1.93,4.01,3.49,9.19,7.08,3.02,2016 Mar,2824983,2441976,155455,2286521,2016 Mar,2356298,132875,58956,2164467,455001,298447,662694,3560,744765,2016 Mar,240764,232164,8568,194915,184816,10078,2016 Mar
1.92,4.65,2.014,2.124,2.231,2.293,1.61,1.51,2.15,2.04,3.96,3.22,9.65,6.98,3,2016 Apr,2678610,2361554,150335,2211218,2016 Apr,2083848,128499,51848,1903501,328059,233059,620045,3445,718893,2016 Apr,241317,236522,4767,177853,167789,10036,2016 Apr
1.92,5.11,2.083,2.231,2.311,2.361,1.55,1.44,2.15,2.03,4.21,3.44,11.62,7.32,2.9,2016 May,2767844,2412475,153577,2258898,2016 May,1965799,131270,48644,1785885,193922,171297,612675,3560,804431,2016 May,248317,243088,5200,188274,178375,9874,2016 May
2.59,5.25,2.634,2.679,2.704,2.771,1.9,1.76,2.6,2.39,4.72,3.84,14.43,7.72,2.89,2016 Jun,2628164,2312288,147199,2165089,2016 Jun,2000656,125818,49713,1825125,122640,138340,590392,3445,970308,2016 Jun,241885,234229,7638,183013,166551,16445,2016 Jun
2.82,4.92,2.761,2.744,2.798,2.977,2.35,2.26,3.02,2.78,5.63,4.42,16.56,8.14,3.57,2016 Jul,2721210,2408915,153350,2255564,2016 Jul,2186616,131076,54504,2001036,106420,134609,616480,3560,1139968,2016 Jul,265022,259224,5773,188682,172923,15739,2016 Jul
2.82,4.94,2.722,2.77,2.93,3.159,2.42,2.29,3.13,2.84,5.13,4.33,17.6,8.3,3.59,2016 Aug,2722631,2389813,152134,2237678,2016 Aug,2208375,130037,55109,2023229,100455,140436,627541,3560,1151236,2016 Aug,261983,253883,8082,214226,187458,26768,2016 Aug
2.99,5.25,2.903,2.998,3.193,3.306,2.47,2.42,3.16,2.99,5.11,4.6,16.78,8.28,3.74,2016 Sep,2626213,2297402,146252,2151150,2016 Sep,1947752,125008,48332,1774412,109782,142031,603868,3445,915286,2016 Sep,238491,235594,2882,201986,185222,16764,2016 Sep
2.98,6.05,3.064,3.32,3.446,3.45,2.59,2.5,3.06,3.05,3.65,4.19,13.74,7.96,3.87,2016 Oct,2720187,2364679,150534,2214145,2016 Oct,1925203,128669,47637,1748897,187385,191437,622720,3560,743796,2016 Oct,231449,225671,5753,176466,173455,3000,2016 Oct
2.55,5.45,2.875,3.018,3.047,3.031,2.7,2.41,3,2.74,4.58,3.9,10.77,7.67,3.86,2016 Nov,2678247,2307494,146894,2160600,2016 Nov,2159445,125558,53930,1979957,379746,280600,654119,3445,662046,2016 Nov,231044,221949,9073,227919,194922,32976,2016 Nov
3.59,6.66,3.591,3.593,3.547,3.421,3.5,3.31,3.82,3.65,4.68,3.96,9.06,7.27,4.27,2016 Dec,2746543,2357556,150081,2207475,2016 Dec,2866273,128282,72600,2665391,794164,462687,734194,3560,670787,2016 Dec,280791,271910,8854,250836,208993,41825,2016 Dec
3.3,6.78,3.291,3.292,3.294,3.305,3.74,3.4,4.26,3.75,6.44,4.21,9.32,7.58,4.85,2017 Jan,2723628,2339431,151984,2187447,2017 Jan,2913823,126894,78712,2708217,830917,479371,734212,4094,659623,2017 Jan,291656,278666,12955,269960,218600,51342,2017 Jan
2.85,7.24,2.907,2.999,3.067,3.13,3.14,2.81,3.8,3.24,5.99,4.13,10.01,7.89,4.53,2017 Feb,2493267,2142588,139196,2003393,2017 Feb,2340217,116217,62816,2161185,579458,359436,649811,3698,568781,2017 Feb,254597,246094,8477,253227,201167,52042,2017 Feb
2.88,5.91,2.992,3.067,3.14,3.202,2.68,2.57,3.21,2.97,4.47,3.84,9.86,7.68,3.92,2017 Mar,2797117,2425799,157595,2268204,2017 Mar,2523331,131579,67554,2324198,579941,371668,696319,4094,672176,2017 Mar,280567,275656,4878,273345,229765,43553,2017 Mar
3.1,6.25,3.189,3.275,3.344,3.368,2.64,2.53,3.65,3.25,5.16,4.2,11.34,8.04,4.11,2017 Apr,2689967,2350432,152698,2197733,2017 Apr,1932042,127491,50973,1753578,278972,211971,631624,3962,627049,2017 Apr,238279,233077,5171,242424,191732,50669,2017 Apr
3.15,6.14,3.236,3.317,3.346,3.332,2.7,2.59,3.57,3.17,4.8,4.42,13.25,8.31,4.02,2017 May,2778965,2428739,157786,2270953,2017 May,1892010,131738,49723,1710548,199486,178502,628407,4094,700059,2017 May,244353,238831,5494,248867,188062,60782,2017 May
2.98,5.73,2.994,3.019,3.013,3.042,2.62,2.51,3.41,3.1,4.61,4.82,16.06,8.75,4.05,2017 Jun,2688422,2373176,154176,2219000,2017 Jun,1910441,128725,50330,1731387,124057,138039,614294,3962,851035,2017 Jun,239805,234140,5637,253322,200844,52462,2017 Jun
2.98,6.27,2.955,2.951,2.988,3.067,2.4,2.31,3.37,3.13,4.26,4.73,17.86,8.81,3.92,2017 Jul,2753997,2477573,160958,2316614,2017 Jul,2141595,134387,56698,1950510,107443,133651,623497,4094,1081826,2017 Jul,250508,245292,5189,248801,195201,53592,2017 Jul
2.9,7.01,2.905,2.942,3.023,3.163,2.38,2.24,3.27,3.13,3.88,4.61,18.22,8.76,3.78,2017 Aug,2769670,2476180,160868,2315312,2017 Aug,2093773,134312,55349,1904112,103835,137228,636935,4094,1022019,2017 Aug,247888,239997,7862,247302,201833,45468,2017 Aug
2.98,7.8,3.006,3.082,3.229,3.324,2.12,2.05,3.3,3.14,3.88,4.52,16.92,8.52,3.83,2017 Sep,2763285,2438213,158401,2279811,2017 Sep,1920466,132252,50513,1737701,114508,144828,615144,3962,859260,2017 Sep,229444,226769,2650,248916,194183,54733,2017 Sep
2.88,7.84,2.916,3.091,3.203,3.206,2.06,1.99,3.37,3.11,4.02,4.03,13.39,7.97,3.78,2017 Oct,2911373,2564255,166590,2397665,2017 Oct,2031510,139089,53456,1838965,205087,200683,656558,4094,772543,2017 Oct,241338,238859,2457,279775,199576,80195,2017 Oct
3.01,8.03,3.064,3.151,3.149,3.099,2.53,2.4,3.54,3.18,4.47,3.97,10.14,7.51,3.84,2017 Nov,2897003,2558771,166233,2392537,2017 Nov,2357258,138792,62661,2155805,467729,322432,695526,3962,666156,2017 Nov,240314,233906,6378,287727,207607,80100,2017 Nov
2.82,7.82,2.776,2.779,2.737,2.669,3.27,2.95,3.68,3.28,4.74,4,9.29,7.42,4.19,2017 Dec,3025419,2662670,170757,2491914,2017 Dec,3086015,144427,83080,2858509,821890,486806,760689,4094,785029,2017 Dec,274478,263583,10864,300138,217521,82604,2017 Dec
3.87,7.91,3.153,2.955,2.8,2.793,4.41,3.79,3.97,3.85,4.34,4.36,8.9,7.4,4.46,2018 Jan,2993178,2618315,177251,2441063,2018 Jan,3340935,134390,98811,3107734,981276,553970,782206,4282,786001,2018 Jan,299891,283223,16640,300234,227758,72463,2018 Jan
2.67,7.43,2.657,2.671,2.695,2.732,3.02,2.76,3.93,3.31,5.62,3.99,9.63,7.74,4.85,2018 Feb,2751215,2414348,163444,2250905,2018 Feb,2710719,123921,79713,2507085,689887,424203,699106,3867,690022,2018 Feb,237417,230617,6771,275652,201968,73684,2018 Feb
2.69,7.17,2.701,2.733,2.784,2.831,2.45,2.16,3.37,2.87,4.45,3.69,9.76,7.71,4,2018 Mar,3069284,2704217,183067,2521151,2018 Mar,2796708,138799,81905,2576005,659389,417944,737863,4282,756528,2018 Mar,270762,264248,6473,291468,199901,91542,2018 Mar
2.8,7.49,2.724,2.76,2.803,2.817,2.2,2.11,3.46,2.98,4.56,3.65,10.05,7.65,3.89,2018 Apr,2976108,2612541,176861,2435681,2018 Apr,2350481,134093,68299,2148089,440848,301841,697338,4144,703919,2018 Apr,242264,239095,3131,278941,193227,85684,2018 Apr
2.8,8.4,2.834,2.861,2.87,2.855,1.73,1.64,3.7,2.99,5.03,4.14,13.52,8.34,3.8,2018 May,3098558,2730667,184857,2545810,2018 May,2055019,140156,59007,1855856,169019,163748,670722,4282,848085,2018 May,227168,224488,2653,272116,177289,94797,2018 May
2.97,8.57,2.943,2.94,2.921,2.934,1.87,1.77,3.43,2.96,4.65,4.49,16.47,8.58,3.77,2018 Jun,2972738,2655954,179799,2476154,2018 Jun,2063144,136321,59376,1867447,119244,142401,649104,4144,952554,2018 Jun,228469,225537,2904,261995,188431,73535,2018 Jun
2.83,8.99,2.793,2.77,2.787,2.841,2.16,2.03,3.72,2.98,5.28,4.5,17.85,8.84,3.75,2018 Jul,3138242,2799146,189493,2609653,2018 Jul,2350719,143671,68011,2139037,105918,137574,667748,4282,1223514,2018 Jul,247012,241382,5602,305997,207736,98240,2018 Jul
2.96,9.18,2.908,2.909,2.948,3.041,2.22,2.1,3.78,3.13,5.33,5.25,18.56,8.69,3.67,2018 Aug,3206177,2855600,193315,2662285,2018 Aug,2313836,146569,66785,2100482,99781,142976,667914,4282,1185530,2018 Aug,237025,231529,5473,311449,219909,91526,2018 Aug
3,10.46,2.897,2.898,2.98,3.05,2.09,1.97,3.47,2.98,4.78,4.72,17.23,8.57,3.75,2018 Sep,3153978,2808817,190148,2618670,2018 Sep,2156063,144167,61997,1949898,112317,146602,657035,4144,1029799,2018 Sep,214074,210896,3154,301742,220355,81381,2018 Sep
3.28,9.11,3.208,3.262,3.318,3.217,2.61,2.34,3.76,3.28,4.92,4.1,12.22,7.69,4.03,2018 Oct,3314676,2939250,198978,2740273,2018 Oct,2285854,150862,65791,2069201,255318,237370,684417,4282,887814,2018 Oct,215128,209023,6075,306653,216758,89886,2018 Oct
4.09,6.97,4.11,4.114,3.96,3.589,4.1,3.87,4.46,3.92,5.62,4.28,9.42,7.34,4.51,2018 Nov,3259912,2894098,195921,2698177,2018 Nov,2715942,148545,79115,2488282,598977,386256,735954,4144,762951,2018 Nov,212486,209652,2805,337789,230180,107585,2018 Nov
4.04,6.38,3.903,3.8,3.583,2.883,4.89,4.14,5.22,4.39,6.84,4.72,9.62,7.7,5.47,2018 Dec,3391473,2975914,201460,2774454,2018 Dec,2999510,152744,87724,2759042,765580,459067,767892,4282,762221,2018 Dec,257148,242347,14771,363806,240989,122795,2018 Dec
3.11,6.46,3.11,2.971,2.78,2.766,4.3,3.55,4.39,3.6,5.89,4.03,9.36,7.67,5.02,2019 Jan,3376735,2974830,207962,2766868,2019 Jan,3424302,148790,113780,3161732,953787,554325,800585,4515,848519,2019 Jan,290886,276363,14482,364787,237813,126957,2019 Jan
2.69,6.6,2.68,2.69,2.714,2.76,4.06,3.6,3.76,3.17,5.06,3.91,9.4,7.54,4.62,2019 Feb,3056916,2705249,189116,2516133,2019 Feb,3019120,135307,100173,2783640,809132,472246,718873,4078,779310,2019 Feb,233344,225750,7555,329954,227074,102866,2019 Feb
2.95,6.58,2.805,2.816,2.863,2.91,3.79,3.63,3.68,3.04,4.84,4.07,9.42,7.4,4.31,2019 Mar,3383042,3008808,210337,2798471,2019 Mar,2927812,150489,96474,2680848,688517,424232,750058,4515,813526,2019 Mar,252989,249443,3499,373539,242696,130814,2019 Mar
2.65,6.09,2.598,2.638,2.693,2.716,2.14,1.97,3.32,2.49,4.7,3.72,10.85,7.72,3.99,2019 Apr,3315270,2925844,204537,2721306,2019 Apr,2212386,146340,71767,1994279,328581,246547,675101,4370,739680,2019 Apr,206559,203685,2842,338213,211083,127102,2019 Apr
2.64,5.61,2.593,2.617,2.631,2.631,1.81,1.81,3.51,2.94,4.39,3.66,12.76,8.06,3.64,2019 May,3424018,3046445,212968,2833477,2019 May,2133985,152372,68834,1912779,212408,184887,674882,4515,836087,2019 May,207651,207613,9,368568,223633,144913,2019 May
2.4,4.5,2.33,2.319,2.308,2.356,1.54,1.54,3.18,2.28,4.57,4.17,15.6,8.29,3.55,2019 Jun,3299794,2956304,206667,2749637,2019 Jun,2119341,147863,68482,1902995,129214,144653,634196,4370,990562,2019 Jun,201163,201133,5,360226,218249,141956,2019 Jun
2.37,4.62,2.303,2.285,2.319,2.42,1.86,1.72,3.47,2.26,5.29,4.17,17.74,8.47,3.33,2019 Jul,3395984,3071698,214733,2856964,2019 Jul,2393904,153635,77819,2162450,111761,141950,649556,4515,1254667,2019 Jul,230407,227550,2832,393400,236515,156865,2019 Jul
2.22,4.48,2.174,2.184,2.262,2.441,1.73,1.63,3.23,2.15,5.13,4.15,18.37,8.41,3.18,2019 Aug,3448106,3146384,219954,2926429,2019 Aug,2433924,157370,79079,2197474,101894,140788,672373,4515,1277904,2019 Aug,220076,217167,2886,384983,246391,138578,2019 Aug
2.56,5.04,2.508,2.556,2.703,2.791,1.65,1.65,3.56,2.38,5.28,4.07,17.61,8.34,3.35,2019 Sep,3396571,3056535,213673,2842862,2019 Sep,2206252,152877,71327,1982049,109841,143158,643905,4370,1080775,2019 Sep,208286,208264,0,394511,234222,160274,2019 Sep
2.33,5.12,2.339,2.511,2.616,2.572,2.15,1.96,3.55,2.28,5.31,3.42,12.5,7.63,3.43,2019 Oct,3551970,3186150,222734,2963416,2019 Oct,2306544,159359,74586,2072599,231696,216141,683580,4515,936668,2019 Oct,210537,204977,5532,425775,247781,177966,2019 Oct
2.65,5.64,2.625,2.683,2.632,2.511,2.8,2.66,4.03,2.66,5.84,3.46,9.33,6.98,3.86,2019 Nov,3509293,3133926,219084,2914843,2019 Nov,2783754,156747,91253,2535754,589075,388823,734619,4370,818868,2019 Nov,223765,220952,2781,441944,251305,190610,2019 Nov
2.22,5.33,2.283,2.274,2.218,2.172,3.23,2.84,3.89,2.48,5.55,3.5,9.3,7.19,3.84,2019 Dec,3622512,3234746,226132,3008614,2019 Dec,3170717,161790,104519,2904407,752613,456817,778934,4515,911529,2019 Dec,256053,245539,10481,481757,261086,220646,2019 Dec
2.02,4.84,2.03,2.021,2.041,2.092,2.64,2.46,3.74,2.13,5.42,3.26,9.43,7.24,3.71,2020 Jan,3596775,3194177,239079,2955097,2020 Jan,3320552,159651,112092,3048809,824886,490633,780197,4162,948931,2020 Jan,262080,248824,13218,510444,260106,250305,2020 Jan
1.91,4.38,1.84,1.87,1.92,1.98,2.04,1.95,3.51,1.93,5.12,3.09,9.19,7.03,3.58,2020 Feb,3363434,2984616,223394,2761222,2020 Feb,3058519,149177,103171,2806170,737150,447532,724550,3894,893044,2020 Feb,238328,232624,5689,454245,228425,225786,2020 Feb
1.79,3.06,1.73,1.78,1.87,1.97,1.68,1.64,3.3,1.74,4.91,3.25,9.8,7.29,3.39,2020 Mar,3582414,3196236,239233,2957002,2020 Mar,2721990,159754,90862,2471374,526843,339067,710518,4162,890784,2020 Mar,213231,210337,2860,497437,253130,244269,2020 Mar
1.74,2.85,1.76,1.9,2.08,2.16,1.5,1.5,3.21,1.68,4.74,3.05,10.42,7.24,3,2020 Apr,3374224,3011842,225432,2786410,2020 Apr,2256849,150538,74694,2031617,378068,238092,633625,4028,777804,2020 Apr,190049,186812,3214,420767,210266,210466,2020 Apr
1.75,3.89,1.81,2,2.08,2.14,1.63,1.59,3.61,1.97,5.53,3.31,11.79,7.73,2.91,2020 May,3285105,2927037,219084,2707953,2020 May,2072161,146299,68295,1857567,236591,162658,617048,4162,837108,2020 May,186518,183681,2811,395472,212994,182438,2020 May
1.63,4.21,1.7,1.78,1.84,1.97,1.54,1.54,2.99,1.78,5.55,3.81,15.33,8.24,2.72,2020 Jun,3217496,2873001,215040,2657961,2020 Jun,2127914,143598,70368,1913948,136127,131784,600908,4028,1041101,2020 Jun,187478,182571,4871,338486,229442,109002,2020 Jun
1.77,4.54,1.77,1.83,1.97,2.4,1.65,1.59,2.9,1.83,5.73,3.92,17.49,8.49,2.58,2020 Jul,3373594,3021331,226142,2795189,2020 Jul,2464089,151012,82027,2231051,118141,129085,633865,4162,1345797,2020 Jul,210419,206315,4083,349167,252930,96200,2020 Jul
2.3,5.01,2.34,2.49,2.81,3.1,1.89,1.9,3.28,2.11,5.85,4.09,18.27,8.48,2.85,2020 Aug,3349817,3011580,225412,2786168,2020 Aug,2399535,150524,79755,2169256,108827,131177,649041,4162,1276048,2020 Aug,211352,208445,2883,360230,247748,112462,2020 Aug
1.92,4.75,2.28,2.82,3.22,3.32,2.02,2.01,3.49,2.23,5.53,4.07,16.85,8.45,3.3,2020 Sep,3265272,2917569,218375,2699193,2020 Sep,2151180,145826,71114,1934240,126533,143702,644071,4028,1015907,2020 Sep,174225,172968,1241,395424,244279,151128,2020 Sep
2.39,4.97,2.84,3.23,3.35,3.3,2.19,2.19,3.85,2.17,5.8,3.5,12.26,7.59,3.29,2020 Oct,3363756,2991827,223934,2767894,2020 Oct,2315892,149537,76824,2089532,241797,208764,686516,4162,948293,2020 Oct,199306,199273,8,481621,258632,222963,2020 Oct
2.61,5.24,2.87,2.99,2.97,2.89,2.71,2.65,4.77,2.73,6.58,3.81,10.99,7.64,3.98,2020 Nov,3352374,2984528,223387,2761141,2020 Nov,2441945,149172,81307,2211466,439857,293544,701977,4028,772059,2020 Nov,211570,208704,2846,528210,247493,280682,2020 Nov
2.59,5.76,2.58,2.58,2.57,2.57,2.8,2.75,4.84,2.85,6.48,3.57,9.75,7.4,4.11,2020 Dec,3489506,3088701,231185,2857517,2020 Dec,3182826,154379,107395,2921052,799641,453918,778484,4162,884847,2020 Dec,266618,261108,5489,553176,248884,304263,2020 Dec
2.71,7.07,2.65,2.63,2.64,2.68,2.86,2.75,4.62,2.89,6.08,3.27,9.63,7.4,4.08,2021 Jan,3516947,3118370,234793,2883578,2021 Jan,3343928,158828,125080,3060020,894969,497489,790600,4627,872336,2021 Jan,284065,277665,6379,563515,258287,305196,2021 Jan
5.35,7.75,2.92,2.87,2.9,2.94,5.63,5.54,12.68,18.64,6.52,12.1,9.29,7.36,9.41,2021 Feb,2949990,2608580,196409,2412171,2021 Feb,3099220,132863,116490,2849867,875739,497284,685706,4179,786959,2021 Feb,271877,266160,5694,424004,215579,208394,2021 Feb
2.62,7.61,2.62,2.66,2.72,2.77,2.66,2.63,4.71,2.91,6.25,4.09,10.48,8,4.43,2021 Mar,3517612,3143955,236719,2907236,2021 Mar,2649393,160131,97754,2391508,574124,358117,702660,4627,751980,2021 Mar,238724,237292,1409,595411,274352,321023,2021 Mar
2.66,7.02,2.69,2.76,2.82,2.85,2.44,2.44,4.46,2.72,5.92,3.92,12.21,8.41,4.03,2021 Apr,3438382,3068700,231053,2837647,2021 Apr,2265143,156298,82815,2026030,342324,247546,675905,4478,755778,2021 Apr,208369,208342,8,564333,257485,306818,2021 Apr
2.91,7.38,2.96,3.01,3.02,3.01,2.7,2.66,4.89,3.02,6.46,4.34,14.08,8.99,4.15,2021 May,3534774,3168206,238545,2929661,2021 May,2117403,161366,76814,1879222,217805,182912,657795,4627,816084,2021 May,204890,203194,1675,578056,263110,314922,2021 May
3.26,8.44,3.27,3.29,3.27,3.29,2.83,2.83,4.92,3.25,6.57,5.05,17.64,9.58,4.21,2021 Jun,3400497,3056126,230106,2826020,2021 Jun,2238388,155658,81790,2000940,129599,143668,638298,4478,1084898,2021 Jun,207859,207835,11,539165,267770,271368,2021 Jun
3.84,9.36,3.82,3.79,3.8,3.86,3.41,3.37,5.64,3.84,7.23,5.58,19.83,9.93,4.76,2021 Jul,3514366,3182278,239605,2942674,2021 Jul,2412185,162083,88362,2161740,112848,143065,666031,4627,1235168,2021 Jul,227779,226033,1735,566046,265887,300143,2021 Jul
4.07,9.59,4.03,4.05,4.12,4.22,3.52,3.52,6.06,4.16,7.75,5.72,20.88,10.21,5.02,2021 Aug,3545197,3196320,240662,2955658,2021 Aug,2433799,162798,89183,2181818,106290,141705,668686,4627,1260509,2021 Aug,220959,220929,22,563572,265296,298262,2021 Aug
5.16,10.93,5.12,5.17,5.27,5.31,4.07,4.04,6.7,4.85,8.34,5.95,20.15,10.3,5.48,2021 Sep,3423163,3086687,232407,2854280,2021 Sep,2142309,157214,77955,1907140,118393,150406,638679,4478,995184,2021 Sep,220206,218947,1246,535583,250769,284813,2021 Sep
5.51,12.15,5.58,5.74,5.82,5.69,4.79,4.79,7.97,5.55,9.98,6.43,17.41,10.47,6.69,2021 Oct,3599640,3245301,244350,3000951,2021 Oct,2262597,165293,82362,2014942,192653,196571,677443,4627,943648,2021 Oct,228203,228156,24,545055,246936,298119,2021 Oct
5.05,10.88,5.1,5.18,5.06,4.77,5.18,4.97,8.1,5.48,10.24,6.04,13.12,10.05,6.99,2021 Nov,3545208,3169856,238669,2931187,2021 Nov,2693262,161450,99425,2432387,482091,337736,725955,4478,882127,2021 Nov,242405,240639,1744,556982,250585,306397,2021 Nov
3.76,9.26,3.86,3.79,3.67,3.6,4.74,4.57,7.4,4.62,9.62,5.87,13.08,10.36,6.77,2021 Dec,3680343,3283998,247263,3036735,2021 Dec,3007324,167264,111530,2728530,669374,401722,766924,4627,885883,2021 Dec,252626,250963,1641,620886,275524,345363,2021 Dec
4.38,10.57,4.26,3.96,3.91,3.93,6.94,6.23,7.04,4.96,8.56,5.39,12.02,9.81,6.64,2022 Jan,3591006,3199287,246142,2953145,2022 Jan,3591691,162949,132302,3296440,961248,552712,816696,4515,961269,2022 Jan,296248,289757,6456,610836,257045,353791,2022 Jan
4.69,11.36,4.46,4.39,4.42,4.46,5.67,5.25,8.22,5.53,10.17,5.8,12.18,10.04,7.53,2022 Feb,3226679,2870165,223125,2647041,2022 Feb,3061123,146186,112758,2802179,796143,465400,721891,4078,814667,2022 Feb,257977,253436,4503,546428,229662,316766,2022 Feb
4.9,12.62,4.98,5.01,5.06,5.11,4.7,4.44,7.24,4.71,9.15,5.6,12.98,10.23,6.34,2022 Mar,3613635,3225163,266877,2958286,2022 Mar,2781491,164267,102458,2514765,590914,387177,752915,4515,779245,2022 Mar,259499,256816,2649,639074,274958,364116,2022 Mar
6.6,12.19,6.71,6.81,6.88,6.87,5.49,5.49,8.45,6.04,10.33,6.37,14.01,10.63,6.88,2022 Apr,3520463,3151649,256626,2895023,2022 Apr,2367455,160523,87207,2119726,389874,277050,700098,4369,748335,2022 Apr,244998,244816,151,587385,256922,330463,2022 Apr
8.14,12.44,8.16,8.23,8.21,8.17,6.72,6.7,10.31,7.62,12.33,8.45,17.76,12.11,8.37,2022 May,3667147,3295871,265670,3030201,2022 May,2242380,167868,82599,1991912,201337,183349,677240,4515,925471,2022 May,230899,230218,645,616665,265217,351448,2022 May
7.7,12.48,7.6,7.6,7.57,7.58,7.03,7.03,11.44,7.97,14.36,10.13,22.69,13.5,9.64,2022 Jun,3556574,3214637,258879,2955758,2022 Jun,2317957,163731,85383,2068843,123951,146847,647774,4369,1145902,2022 Jun,228882,228677,178,553760,253100,300659,2022 Jun
7.28,11.41,7.19,7.1,7.1,7.19,6,5.93,9.99,6.78,12.76,8.97,24.73,13.54,8.14,2022 Jul,3689978,3330463,275706,3054757,2022 Jul,2582948,169630,95144,2318173,110488,144753,658405,4514,1400013,2022 Jul,257197,254283,2886,559842,259426,300415,2022 Jul
8.81,11.19,8.78,8.77,8.85,8.96,6.62,6.51,12.22,8.44,15.45,10.49,25.52,14.24,9.76,2022 Aug,3699284,3349415,270100,3079315,2022 Aug,2559505,170596,94281,2294629,103255,141448,670158,4514,1375253,2022 Aug,235884,232808,3052,558031,257816,300215,2022 Aug
7.88,9.72,7.76,7.85,8.02,8.09,6,6,12.79,7.78,16.72,9.81,24.65,14.58,9.95,2022 Sep,3637950,3280768,264608,3016160,2022 Sep,2288505,167099,84298,2037107,114497,150170,646379,4368,1121693,2022 Sep,233927,233738,160,526465,231086,295379,2022 Sep
5.66,8.65,6.08,6.49,6.67,6.41,4.67,4.67,10.22,5.03,14.32,6.83,18.72,12.84,7.38,2022 Oct,3769193,3393976,275070,3118906,2022 Oct,2365973,172865,87152,2105956,242225,223715,685832,4514,949669,2022 Oct,239507,239263,208,554328,244505,309823,2022 Oct
5.45,8.46,6.43,6.77,6.49,5.74,5.8,5.61,8.63,4.94,11.68,6.74,15.63,11.89,6.92,2022 Nov,3683184,3297153,268628,3028524,2022 Nov,2772945,167934,102143,2502868,516416,356137,722834,4368,903112,2022 Nov,246201,244777,1395,553774,251165,302608,2022 Nov
5.53,7.43,5.77,5.6,5.09,4.67,9.75,9.46,9.91,6.28,12.67,7.68,14.74,12.03,8.23,2022 Dec,3729483,3327655,248638,3079016,2022 Dec,3381890,169487,124574,3087829,839755,495846,754368,4514,993345,2022 Dec,292940,289926,2983,597316,257355,339960,2022 Dec
